iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
921,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 0.5}",pca,True,20,[],616,"[[0, 0], [61, 235]]",0.814625850340136,0.6666666666666666,0.5739795918367346,0.612736660929432,,,,0
927,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [14, 282]]",0.9523809523809524,0.8333333333333334,0.8095238095238096,0.8205128205128206,,,,0
929,ET,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,5,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
930,RF,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,False,5,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
933,ET,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",freq,False,N/A,[],616,"[[0, 0], [5, 291]]",0.9829931972789115,0.8333333333333334,0.8248299319727891,0.8289703315881326,,,,0
938,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[0, 0], [16, 280]]",0.9462914197937241,0.6666666666666666,0.6398123765635287,0.6521797481378755,,,,0
941,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,['drugConcentration'],616,"[[0, 0], [31, 265]]",0.894167867670172,0.5,0.447083933835086,0.4692493335508057,,,,0
942,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 'log2'}",pca,False,20,[],616,"[[0, 0], [30, 266]]",0.8986723721746763,0.6666666666666666,0.6160028527540048,0.637049787065545,,,,0
944,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [17, 279]]",0.9421768707482993,0.8333333333333334,0.804421768707483,0.8175046554934823,,,,0
946,ET,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
