iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
53,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'auto'}",freq,False,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
218,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",freq,True,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
480,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
539,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
573,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
601,SVM,"{'C': 1, 'kernel': 'linear', 'gamma': 'auto'}",freq,False,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
688,SVM,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",freq,False,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
703,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
949,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[27, 60], [17, 512]]",0.8749934434828219,0.7775711372616311,0.638810316579462,0.6706312905773537,0.3510558712248263,0.030793461525723393,0.3202624096991029,1
501,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,5,[],616,"[[30, 57], [24, 505]]",0.86852871754524,0.7457689214173591,0.6495268044324647,0.6728273667189155,0.352786254361874,0.03274172040818232,0.3200445339536917,1
708,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[38, 49], [23, 506]]",0.8831628638867034,0.7858188740413512,0.6975200394623258,0.722523267831243,0.4493610264335789,0.12987671544404655,0.31948431098953234,1
412,ET,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 10, 'max_features': 0.5}",pca,False,10,[],616,"[[41, 46], [29, 500]]",0.8783110411749279,0.7601628720787988,0.7078817187252259,0.7219915693363392,0.4475883884456394,0.1295240418284052,0.3180643466172342,1
514,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'scale'}",freq,False,N/A,[],616,"[[26, 61], [20, 509]]",0.8685024914765277,0.7445846733410947,0.6304245723446611,0.6577686544357846,0.32465086684681205,0.006903070724054612,0.31774779612275744,1
127,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
283,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
332,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
378,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
