iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
558,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.5}",freq,False,N/A,[],616,"[[63, 41], [90, 102]]",0.5522406870333137,0.5705866682337272,0.5523469036103668,0.4870537783886786,0.09236243079733424,0.17793403180554834,-0.08557160100821411,1
79,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[65, 39], [84, 108]]",0.5930125319526242,0.5603243138450743,0.5755524446045021,0.5144418183232381,0.10460588587420838,0.19104477850743176,-0.08643889263322338,1
389,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[65, 39], [84, 108]]",0.5930125319526242,0.5603243138450743,0.5755524446045021,0.5144418183232381,0.10460588587420838,0.19104477850743176,-0.08643889263322338,1
724,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[65, 39], [84, 108]]",0.5930125319526242,0.5603243138450743,0.5755524446045021,0.5144418183232381,0.10460588587420838,0.19104477850743176,-0.08643889263322338,1
770,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[65, 39], [84, 108]]",0.5930125319526242,0.5603243138450743,0.5755524446045021,0.5144418183232381,0.10460588587420838,0.19104477850743176,-0.08643889263322338,1
282,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,10,[],616,"[[70, 34], [111, 81]]",0.47309752148461826,0.5556688968655125,0.541317262830657,0.42385153204963366,0.06189037888389104,0.14900266167545456,-0.08711228279156352,1
933,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[74, 30], [100, 92]]",0.5297670942832233,0.5654584369956264,0.5515418681015202,0.48010688287977016,0.09857141299365739,0.18605682647410038,-0.08748541348044299,1
384,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'log2'}",pca,False,15,[],616,"[[83, 21], [130, 62]]",0.47908771180660586,0.4783832476814933,0.5415904271503553,0.4159883887630367,0.031404066581365075,0.11898628931543326,-0.08758222273406818,1
548,RF,"{'n_estimators': 300, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,15,[],616,"[[80, 24], [116, 76]]",0.5275341173958686,0.4713839291502963,0.5338446170571274,0.44586684120034964,0.030114905760904365,0.11789628348597703,-0.08778137772507266,1
449,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,15,[],616,"[[80, 24], [138, 54]]",0.42953816225705627,0.49844709043492,0.5227392917361159,0.3740881514259424,0.013608494178351194,0.10168477800587182,-0.08807628382752063,1
85,ET,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 10, 'max_features': 0.5}",pca,False,20,[],616,"[[80, 24], [111, 81]]",0.5405182997348896,0.4989970304292272,0.5455604247236393,0.46144083170414474,0.06439842130819529,0.15314536920694377,-0.08874694789874848,1
153,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",pca,True,5,[],616,"[[31, 73], [70, 122]]",0.49877675568919805,0.5209495642042526,0.5200851244554641,0.43159301695842006,0.020669855753463657,0.10945666088967028,-0.08878680513620663,1
6,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'auto'}",pca,True,20,[],616,"[[53, 51], [97, 95]]",0.45595134304811724,0.5673883066937283,0.5477283341409274,0.4162089455488543,0.08842320344482464,0.17721668548808753,-0.08879348204326289,1
67,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'log2'}",freq,False,N/A,[],616,"[[65, 39], [85, 107]]",0.5885080274481196,0.559272539109089,0.5729883420403995,0.5111963182413151,0.10167546270342054,0.19076159685890876,-0.08908613415548822,1
468,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'sqrt'}",freq,False,N/A,[],616,"[[65, 39], [85, 107]]",0.5885080274481196,0.559272539109089,0.5729883420403995,0.5111963182413151,0.10167546270342054,0.19076159685890876,-0.08908613415548822,1
266,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,True,10,[],616,"[[78, 26], [134, 58]]",0.43024541987675624,0.4987944824901347,0.49351358556343367,0.34145605089001313,-0.03256577363011718,0.057041419851641885,-0.08960719348175906,1
823,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[76, 28], [122, 70]]",0.4814526508074895,0.4165942721245124,0.4897313746733796,0.3815871129070982,-0.04185272095474113,0.04942611782453525,-0.09127883877927638,1
649,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",pca,False,20,[],616,"[[71, 33], [99, 93]]",0.5069406140834712,0.5952176756990422,0.5836164759632034,0.4668844782052329,0.14978447437823292,0.24252766397478887,-0.09274318959655595,1
641,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,20,[],616,"[[78, 26], [137, 55]]",0.4261368017128386,0.4652314403862392,0.504039767064484,0.35344178053374403,-0.018622504582277172,0.07453661015997716,-0.09315911474225433,1
453,ET,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[59, 45], [99, 93]]",0.5021173246979699,0.5086664464559957,0.5002492722942875,0.4159808098519338,-0.0034134318118173024,0.08986705070839268,-0.09328048252020998,1
726,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 0.5}",pca,True,5,[],616,"[[28, 76], [85, 107]]",0.44675699399201707,0.4707601876954331,0.4776147654599739,0.3934544555833481,-0.04968037809152659,0.04371856048542242,-0.093398938576949,1
570,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",pca,True,5,[],616,"[[21, 83], [65, 127]]",0.486828994893511,0.5511282072209353,0.5158690467479476,0.41094320161894177,0.007099253806362338,0.10060040838515069,-0.09350115457878835,1
371,RF,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",pca,False,20,[],616,"[[78, 26], [138, 54]]",0.4216322972083341,0.46491174729161,0.5014756645003814,0.3485827897592604,-0.020046478861926786,0.07374264538645248,-0.09378912424837926,1
647,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,5,[],616,"[[28, 76], [84, 108]]",0.45126149849652153,0.4721136344436167,0.48017886802407655,0.39721864236711313,-0.048041971389384264,0.04586509405327674,-0.093907065442661,1
238,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[55, 49], [87, 105]]",0.5414627926148664,0.488116458704694,0.5148117238147617,0.43738481762014336,-0.016184480632241944,0.07805101018853433,-0.09423549082077627,1
256,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[55, 49], [86, 106]]",0.5459672971193709,0.489091513074347,0.5173758263788643,0.4406802856685905,-0.013759248013756942,0.08099595850047278,-0.09475520651422972,1
644,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[55, 49], [86, 106]]",0.5459672971193709,0.489091513074347,0.5173758263788643,0.4406802856685905,-0.013759248013756942,0.08099595850047278,-0.09475520651422972,1
710,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[55, 49], [86, 106]]",0.5459672971193709,0.489091513074347,0.5173758263788643,0.4406802856685905,-0.013759248013756942,0.08099595850047278,-0.09475520651422972,1
