iteration,model,hp,dim_method,do_scale,filter_ok,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
730,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
731,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,[],66,"[[18, 3], [8, 3]]",0.6916666666666668,0.4291666666666667,0.5,0.45862242332830566,,,,0
734,ET,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 0.5}",pca,True,True,5,[],66,"[[14, 7], [5, 6]]",0.6773809523809523,0.5115740740740741,0.5079365079365079,0.4724415204678363,,,,0
735,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
740,RF,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'log2'}",pca,True,True,5,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
743,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],66,"[[17, 4], [8, 3]]",0.6678571428571428,0.4053571428571428,0.4761904761904762,0.43566760037348273,,,,0
744,RF,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
745,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,False,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",61,"[[13, 4], [9, 3]]",0.6210826210826211,0.5217592592592593,0.5992063492063492,0.5493506493506494,,,,0
748,ET,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",,False,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",61,"[[17, 0], [12, 0]]",0.6027676027676027,0.30138380138380133,0.5,0.3746031746031746,,,,0
761,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,[],66,"[[18, 3], [8, 3]]",0.6916666666666668,0.4291666666666667,0.5,0.45862242332830566,,,,0
765,RF,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,True,20,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
767,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",61,"[[10, 7], [6, 6]]",0.5771265771265771,0.28856328856328856,0.5,0.3631996658312448,,,,0
