iteration,model,hp,n_pca,do_scale,dataset_size,mae,rmse,r2,r2_std,score
53,SVM,"{'C': 1, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.5}",15,True,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
57,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.5}",5,False,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
43,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.5}",10,False,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
44,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.5}",5,False,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
33,SVM,"{'C': 100, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 0.5}",15,False,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
29,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.5}",5,True,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
19,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.5}",5,True,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
20,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.5}",20,True,2097,0.37895358719246913,0.41214990705045346,-0.4704284151811233,0.237617212753186,-0.7080456279343094
18,ET,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",15,True,2097,0.38083070916238243,0.4314559080097471,-0.34401996613127334,0.4420933944898723,-0.7861133606211457
40,ET,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'log2'}",5,False,2097,0.38672749620344904,0.43815822706864105,-0.37720213498450866,0.42345922876781406,-0.8006613637523228
